用户名,星级,时间,长评论,短评论
Ivy,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-30 19:02                            
                            ","自然界的瑰宝 无法想象这壮丽又奇妙的风光是如何被大自然日积月累雕琢而成 我们选择乘坐天门山索道上山 百龙天梯下山  陡峭的山崖 蜿蜒的山路 飘荡在山巅的云海 无不让人赞叹不已个人特别喜欢西线的玻璃栈道 感觉自己从未如此接近云朵		                            收起评价","自然界的瑰宝 无法想象这壮丽又奇妙的风光是如何被大自然日积月累雕琢而成 我们选择乘坐天门山索道上山 百龙天梯下山  陡峭的山崖 蜿蜒的山路 飘荡在山巅的云海 无不让人赞叹不已个人特别喜欢西线的玻璃栈道 感觉自己从未如此接近云朵		                            收起评价"
卖女孩的小火柴,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-30 00:45                            
                            ","十月份来了一趟张家界，来了这边一定要来一趟天门山，要坐很高的缆车?上去，还要爬很高的天梯，主打一个 高！景色是真的很漂亮，就是那个玻璃栈道看起都腿软，对于恐高的人来说不友好我除了玻璃栈道没去以外，全部我都走了，都是沿着悬崖边上的栈道走                            		                            收起评价",还是9月份去的 风景真的很不错 挺值得去的
梧桐花开,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-12-29 22:35                            
                            ","天门山，张家界被载入史册的名山，海拔1518.6米，距市区仅8公里，是张家界代表性自然景观之一。长久以来，天门山不仅以其神奇独特的地质外貌、秀美无比的自然风景令人瞩目，更因其深远博大的文化内涵、异彩纷星的人文胜迹间名遐迩，被尊为张家界的文化之魂、精神之魂，有湘西神山的美蓄。天门山山体孤峰高耸、气势临空独尊，世界高海拔天然穿山溶洞天门洞，悬于干寻素壁之上，成为奇绝天下的胜景，也成就了当地深厚、大气的“天文化”和“仙山文化”。天门山是张家界的第二个国家森林公园，山顶保存有完整的原始次生林，一年四季野趣盎然，加之溶丘石芽遍布，奇石秀木结伴而生，犹如神仙造就的盆景大观园。占地万余平方米的天门山寺，自明朝以来火鼎盛，是湘西的佛教中心。“天门洞开、鬼谷显影、独角瑞兽”等六个千百年来的难解之谜，更是为天门山渲染着扑朔迷离、神秘出尘的气氛。天门山的旅游交通设施堪称惊世之作，为游客带来充满震撼的旅游体验。“天门山索道”、“通天大道““天门邏”、“空中盆景花园〞一起被人誉为四大奇观。天门山碗路，长485米，高薏1279米，带游客从现代城市氛窗直接投入原始空中花园的怀抱。索道运行途中风景变化万干，游客能有犹如凌空飞仙般的神奇体验，又如融身于一幅壮丽的山水画长卷。被称为“通天大道”的天门山盘山公路，全长不到11公里，海拔却从200米急剧提升至1100米，大道借山势扶摇直上，九十九弯，层层叠起，宛若飞龙盘旋，直通天际，令人叹为观止。                            		                            收起评价","十月份来了一趟张家界，来了这边一定要来一趟天门山，要坐很高的缆车?上去，还要爬很高的天梯，主打一个 高！景色是真的很漂亮，就是那个玻璃栈道看起都腿软，对于恐高的人来说不友好我除了玻璃栈道没去以外，全部我都走了，都是沿着悬崖边上的栈道走                            		                            收起评价"
睡不醒,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-29 10:44                            
                            ","和朋友一起一群人开车来张家界玩。然后 朋友请我们来这边。哈哈 天门山 先做大巴开上路弯弯绕绕的蛮有意思的。然后就看到这个天门山啦 就开始爬楼梯 爬楼梯 爬楼梯去。爬上去里面还有很长的路 还有玻璃栈道 还有不得不说风景很美好。 下山的时候人多做索道 等了2个小时		                            收起评价","和朋友一起一群人开车来张家界玩。然后 朋友请我们来这边。哈哈 天门山 先做大巴开上路弯弯绕绕的蛮有意思的。然后就看到这个天门山啦 就开始爬楼梯 爬楼梯 爬楼梯去。爬上去里面还有很长的路 还有玻璃栈道 还有不得不说风景很美好。 下山的时候人多做索道 等了2个小时		                            收起评价"
金宝爸爸,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-29 10:27                            
                            ","很多人都比较纠结，到底是去张家界天门山还是张家界国家森林公园，我觉得两个都去了之后发现都各有一番风味，最好是两个都去，而且张家界天门山其实半天就够了森林公园最好玩两天或者森林公园，或者森林公园玩一天也行，但是天门山确实半天就够了                            		                            收起评价",老妈心心念念的张家界，终于来了
无聊的盒子993,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-12-29 03:10                            
                            ","这里更夸张，韩语，泰语，马来语，英文，还有少量我听不懂的方言，这里是听不到普通话的…?私人景区?洞门口有两个神兽，李某某御用风水师改了风水后一飞冲天的，之前这里小猫两三只。山脚下的香炉也是定时定点有专人上香的?每年都会有些落石，还是有点危险…?这里的索道缆车目前还是进口的，因为高度落差大，总线长，目前国产技术暂时还达不到?当然最有名的要数翼装飞行了今年因为目前落石有点严重，所以999台阶不让走，正在看的时候，巨大的一声轰隆声，好多石头?落在台阶上，在山谷中像爆破，砸下来那个确实很吓人。听说每年落石好巧不巧会造成一些死伤，还有999爬的也会造成一些有基础问题的猝死，以及极限运动翼装飞行的死伤，听说这也是风水一部分…大家注意观察，注意安全                            		                            收起评价","很多人都比较纠结，到底是去张家界天门山还是张家界国家森林公园，我觉得两个都去了之后发现都各有一番风味，最好是两个都去，而且张家界天门山其实半天就够了森林公园最好玩两天或者森林公园，或者森林公园玩一天也行，但是天门山确实半天就够了                            		                            收起评价"
嚯额,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-12-28 22:48                            
                            ","天门山来过几次了，这次的感觉最好。带西北的亲戚来游玩，年龄比较大，走不了很多路。正好电梯维修期间，A线换了路线，体验感很好。三个索道都有坐到，还坐了中巴车走了半程99道拐。基本是都体验到了。走了西线，看了主要风景，除了山上的小缆车单独收费，其他都包含在门票里了。还是比较良心的景点了。下山之后到了新的大门这边，有中巴车送回市区索道上站。                            		                            收起评价",天门山的缆车?刚坐上去没觉得什么，然后没过多久我家家属就有点恐高了，哈哈哈～感觉坐了好久的缆车才到目的地，不过过程中的景色很美。
ddpuser_08wesxt,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-12-28 20:45                            
                            ","天门山古称云梦山，是张家界海拔最高的山，市内很多住的高的地方可以直接看到天门山，索道在张家界的市区，停车费10元，天门山比起武陵源来说，是非常不怎么费脚的景点，老少皆宜。最出名的就是999层天阶，索道是我做过最划得来的，超级值，可以做很久，                            		                            收起评价","这里更夸张，韩语，泰语，马来语，英文，还有少量我听不懂的方言，这里是听不到普通话的…?私人景区?洞门口有两个神兽，李某某御用风水师改了风水后一飞冲天的，之前这里小猫两三只。山脚下的香炉也是定时定点有专人上香的?每年都会有些落石，还是有点危险…?这里的索道缆车目前还是进口的，因为高度落差大，总线长，目前国产技术暂时还达不到?当然最有名的要数翼装飞行了今年因为目前落石有点严重，所以999台阶不让走，正在看的时候，巨大的一声轰隆声，好多石头?落在台阶上，在山谷中像爆破，砸下来那个确实很吓人。听说每年落石好巧不巧会造成一些死伤，还有999爬的也会造成一些有基础问题的猝死，以及极限运动翼装飞行的死伤，听说这也是风水一部分…大家注意观察，注意安全                            		                            收起评价"
venuslc77,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-28 20:35                            
                            ","好好好一大早出发上山顶没雪OK啊没关系逛完两个线太阳还挺大立马去下天门洞的线到了想看到太阳穿过天门洞的画面没太阳了哈哈哈哈没关系啊等了一个小时还是没有OK啊也没关系天梯不能上哈哈哈哈哈哈哈好好好好好好好好好好张家界好好好好好好好                            		                            收起评价","天门山来过几次了，这次的感觉最好。带西北的亲戚来游玩，年龄比较大，走不了很多路。正好电梯维修期间，A线换了路线，体验感很好。三个索道都有坐到，还坐了中巴车走了半程99道拐。基本是都体验到了。走了西线，看了主要风景，除了山上的小缆车单独收费，其他都包含在门票里了。还是比较良心的景点了。下山之后到了新的大门这边，有中巴车送回市区索道上站。                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-12-28 17:35                            
                            ","去的时候只有一条线路，最好打电话问下，由于直接导航的天门山，直接开车就到了山上，然后这个线路没有开放，只能再回到市内缆车处统一坐缆车上去，线路只有这一条，缆车这里的停车场也是满满荡荡的，去的时候已经停满了，不让进了。                            		                            收起评价","天门山古称云梦山，是张家界海拔最高的山，市内很多住的高的地方可以直接看到天门山，索道在张家界的市区，停车费10元，天门山比起武陵源来说，是非常不怎么费脚的景点，老少皆宜。最出名的就是999层天阶，索道是我做过最划得来的，超级值，可以做很久，                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str35 star"></span>,"
2023-12-28 16:47                            
                            ","上周末去的天门山…天门山雾凇真的好美…虽然没有走遍山顶所有的景点，倒是依旧很开心…遗憾的是没有遇到下雪…要是可以在天门山看上一场雪，那岂不绝绝子！！！对了，天门山的索道一点也不吓人，真的！！！郴州莽山五指峰的感觉更恐怖！！！                            		                            收起评价","好好好一大早出发上山顶没雪OK啊没关系逛完两个线太阳还挺大立马去下天门洞的线到了想看到太阳穿过天门洞的画面没太阳了哈哈哈哈没关系啊等了一个小时还是没有OK啊也没关系天梯不能上哈哈哈哈哈哈哈好好好好好好好好好好张家界好好好好好好好                            		                            收起评价"
在香格里拉弹钢琴的茄子,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-12-28 15:10                            
                            ","张家界国家森林公园真是一个风景非常独特的地方，去了会再去，四时各不同，时时不相像！今年去的时候正好雨水比较大，但是，上山的时候又不下雨了，整个山体笼罩在浓浓的云雾中，如同仙气飘飘，真如误入仙境一般，另有一番韵味		                            收起评价","去的时候只有一条线路，最好打电话问下，由于直接导航的天门山，直接开车就到了山上，然后这个线路没有开放，只能再回到市内缆车处统一坐缆车上去，线路只有这一条，缆车这里的停车场也是满满荡荡的，去的时候已经停满了，不让进了。                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-27 23:46                            
                            ","真的特别值得去，太好玩了。我们是十一去的，只有A线，刚好我们看攻略后也是打算买A线的。去的前天还是下雨天，当天没有雨，第二天又是下雨天，真的好幸运。索道缆车?太刺激了，刚开始不敢看?，心情平缓后赶紧拍照?。                            		                            收起评价",张家界，天门山，真的太美了，几个朋友开车过来玩的，很不错，值得下次再会来的
是火锅吖,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-27 13:54                            
                            ","怎么说呢，超级美！手机拍不出它的美，我们去的时候刚好赶上雾凇，美不胜收。能见度5米左右，雾蒙蒙的，仿佛人间仙境一般。过了一会，出了太阳，能见度好了，不过马上又没了。特别说的是28分钟的穿城缆车超级棒，目前只有A线开通。下午去了天门洞，由于天气原因，没有看到全部，有点遗憾。                            		                            收起评价",天然氧吧相信我，你一定会被张家界震撼到
小珊纸_5413,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-26 19:08                            
                            ","欢迎来天门山 可以让你有很大概率当上神仙 除了跟着人流走一走玻璃栈道 毫无乐趣可言 感觉名不副实 还不如大峡谷体验好 嗯..坐着几个亿修的电梯爬山 确实不累 就是看不见风景 可能是下山这个超长索道速度快 耳膜疼的厉害 缓了好一阵                            		                            收起评价","怎么说呢，超级美！手机拍不出它的美，我们去的时候刚好赶上雾凇，美不胜收。能见度5米左右，雾蒙蒙的，仿佛人间仙境一般。过了一会，出了太阳，能见度好了，不过马上又没了。特别说的是28分钟的穿城缆车超级棒，目前只有A线开通。下午去了天门洞，由于天气原因，没有看到全部，有点遗憾。                            		                            收起评价"
心态爆炸._6715,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-12-26 18:45                            
                            ","交通：交通还是很方便，从长沙坐城铁到张家界西，门口班车有直达森林公园门口。如果要从标志门走，也有班车到武陵源汽车站（离景区门口也不远）特色体验：推荐理由：独特的喀斯特地貌，一年四季不同的景色，天然氧吧，天然休闲场所，非常值得体验tips：冬季早晚温差以及山上山下温差大，注意穿衣                            		                            收起评价",漂亮、可惜大雾没看着洞口、大自然的鬼斧神工
此处空白001,<span class="sml-rank-stars sml-str25 star"></span>,"
2023-12-26 16:32                            
                            ","你的天门山，我的天门山，好像不一样；天门山顶古称“云梦绝顶”，是天门山的制高点。站在顶上，居高临下，视野开阔，环顾四周，晨观日出红山，夕观日落熔金，大小景点，尽收眼底。国庆节去的天门山，下雨天看到最多的就是雨伞和人了吧，期待晴天的天门山；                            		                            收起评价","欢迎来天门山 可以让你有很大概率当上神仙 除了跟着人流走一走玻璃栈道 毫无乐趣可言 感觉名不副实 还不如大峡谷体验好 嗯..坐着几个亿修的电梯爬山 确实不累 就是看不见风景 可能是下山这个超长索道速度快 耳膜疼的厉害 缓了好一阵                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-26 14:25                            
                            ","天门山要遇上好天气真的是太难了…两次去，两次都是由抱琵琶半遮面的感觉， 玻璃栈道走完了也完全没有感觉，因为你根本看不到下面有什么。天门山的门？ 请自行想象，或者自行ps一道门吧当然运气好的朋友们， 网上的图片还是绝美的，祝你们好运！                            		                            收起评价","交通：交通还是很方便，从长沙坐城铁到张家界西，门口班车有直达森林公园门口。如果要从标志门走，也有班车到武陵源汽车站（离景区门口也不远）特色体验：推荐理由：独特的喀斯特地貌，一年四季不同的景色，天然氧吧，天然休闲场所，非常值得体验tips：冬季早晚温差以及山上山下温差大，注意穿衣                            		                            收起评价"
旅行中的Jeremy,<span class="sml-rank-stars sml-str35 star"></span>,"
2023-12-26 11:50                            
                            ","跟女朋友一起出来爬山，到处都是张家界的风景，如果再玩两天，张家界就下大雪了，这种的风景配上雪天真的是出人眼底，呀那真的是。非常的哇塞。这次也是没有能看到雪景，跟女朋友一起出来旅行。值得玩，值得推荐，走了大半天才走完，好累，去了好累还是好累，但是美景是真的没得说。                            		                            收起评价","你的天门山，我的天门山，好像不一样；天门山顶古称“云梦绝顶”，是天门山的制高点。站在顶上，居高临下，视野开阔，环顾四周，晨观日出红山，夕观日落熔金，大小景点，尽收眼底。国庆节去的天门山，下雨天看到最多的就是雨伞和人了吧，期待晴天的天门山；                            		                            收起评价"
泡沫小英子,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-26 00:46                            
                            ","来张家界就是想来天门山果然不虚此行11月底一直担心天公不作美，来了留开始降温了，就怕到了天门山看不见门。好在老天爷给力，山脚下还是烟雾缭绕，到了天门太阳出来了，一束阳光从天门中穿过人也豁然开朗特色体验:山路十八弯。城里长大的娃特别新鲜，但晕也是y真的晕交通:上山的缆车一路向上，挺刺激的，还有一丝耳鸣                            		                            收起评价",天门山的风景真的很漂亮，绝对会去第二次，缆车上去，真的很震撼，大自然的鬼斧神工，真的是人间仙境，一步一景，一步一重天，目光所及皆为风景
